model,lambda_ss,time,mean_new_infections,mean_active_infected,mean_cumulative_infected
normal,0.0000,200,0.000000,0.000000,94.980000
strong,0.4000,0,1.000000,1.000000,1.000000
strong,0.4000,1,7.184000,7.184000,8.184000
strong,0.4000,2,14.913000,14.913000,23.097000
strong,0.4000,3,23.127000,23.127000,46.224000
strong,0.4000,4,32.340000,32.340000,78.564000
strong,0.4000,5,42.464000,42.464000,121.028000
strong,0.4000,6,53.746000,53.746000,174.774000
strong,0.4000,7,64.211000,64.211000,238.985000
strong,0.4000,8,67.778000,67.778000,306.763000
strong,0.4000,9,58.469000,58.469000,365.232000
strong,0.4000,10,40.730000,40.730000,405.962000
strong,0.4000,11,22.732000,22.732000,428.694000
strong,0.4000,12,9.241000,9.241000,437.935000
strong,0.4000,13,3.392000,3.392000,441.327000
strong,0.4000,14,1.192000,1.192000,442.519000
strong,0.4000,15,0.425000,0.425000,442.944000
strong,0.4000,16,0.145000,0.145000,443.089000
strong,0.4000,17,0.085000,0.085000,443.174000
strong,0.4000,18,0.052000,0.052000,443.226000
strong,0.4000,19,0.021000,0.021000,443.247000
strong,0.4000,20,0.001000,0.001000,443.248000
strong,0.4000,21,0.001000,0.001000,443.249000
strong,0.4000,22,0.003000,0.003000,443.252000
strong,0.4000,23,0.004000,0.004000,443.256000
strong,0.4000,24,0.001000,0.001000,443.257000
strong,0.4000,25,0.000000,0.000000,443.257000
strong,0.4000,26,0.000000,0.000000,443.257000
strong,0.4000,27,0.000000,0.000000,443.257000
strong,0.4000,28,0.000000,0.000000,443.257000
strong,0.4000,29,0.000000,0.000000,443.257000
strong,0.4000,30,0.000000,0.000000,443.257000
strong,0.4000,31,0.000000,0.000000,443.257000
strong,0.4000,32,0.000000,0.000000,443.257000
strong,0.4000,33,0.000000,0.000000,443.257000
strong,0.4000,34,0.000000,0.000000,443.257000
strong,0.4000,35,0.000000,0.000000,443.257000
strong,0.4000,36,0.000000,0.000000,443.257000
strong,0.4000,37,0.000000,0.000000,443.257000
strong,0.4000,38,0.000000,0.000000,443.257000
strong,0.4000,39,0.000000,0.000000,443.257000
strong,0.4000,40,0.000000,0.000000,443.257000
strong,0.4000,41,0.000000,0.000000,443.257000
strong,0.4000,42,0.000000,0.000000,443.257000
strong,0.4000,43,0.000000,0.000000,443.257000
strong,0.4000,44,0.000000,0.000000,443.257000
strong,0.4000,45,0.000000,0.000000,443.257000
strong,0.4000,46,0.000000,0.000000,443.257000
strong,0.4000,47,0.000000,0.000000,443.257000
strong,0.4000,48,0.000000,0.000000,443.257000
strong,0.4000,49,0.000000,0.000000,443.257000
strong,0.4000,50,0.000000,0.000000,443.257000
strong,0.4000,51,0.000000,0.000000,443.257000
strong,0.4000,52,0.000000,0.000000,443.257000
strong,0.4000,53,0.000000,0.000000,443.257000
strong,0.4000,54,0.000000,0.000000,443.257000
strong,0.4000,55,0.000000,0.000000,443.257000
strong,0.4000,56,0.000000,0.000000,443.257000
strong,0.4000,57,0.000000,0.000000,443.257000
strong,0.4000,58,0.000000,0.000000,443.257000
strong,0.4000,59,0.000000,0.000000,443.257000
strong,0.4000,60,0.000000,0.000000,443.257000
strong,0.4000,61,0.000000,0.000000,443.257000
strong,0.4000,62,0.000000,0.000000,443.257000
strong,0.4000,63,0.000000,0.000000,443.257000
strong,0.4000,64,0.000000,0.000000,443.257000
strong,0.4000,65,0.000000,0.000000,443.257000
strong,0.4000,66,0.000000,0.000000,443.257000
strong,0.4000,67,0.000000,0.000000,443.257000
strong,0.4000,68,0.000000,0.000000,443.257000
strong,0.4000,69,0.000000,0.000000,443.257000
strong,0.4000,70,0.000000,0.000000,443.257000
strong,0.4000,71,0.000000,0.000000,443.257000
strong,0.4000,72,0.000000,0.000000,443.257000
strong,0.4000,73,0.000000,0.000000,443.257000
strong,0.4000,74,0.000000,0.000000,443.257000
strong,0.4000,75,0.000000,0.000000,443.257000
strong,0.4000,76,0.000000,0.000000,443.257000
strong,0.4000,77,0.000000,0.000000,443.257000
strong,0.4000,78,0.000000,0.000000,443.257000
strong,0.4000,79,0.000000,0.000000,443.257000
strong,0.4000,80,0.000000,0.000000,443.257000
strong,0.4000,81,0.000000,0.000000,443.257000
strong,0.4000,82,0.000000,0.000000,443.257000
strong,0.4000,83,0.000000,0.000000,443.257000
strong,0.4000,84,0.000000,0.000000,443.257000
strong,0.4000,85,0.000000,0.000000,443.257000
strong,0.4000,86,0.000000,0.000000,443.257000
strong,0.4000,87,0.000000,0.000000,443.257000
strong,0.4000,88,0.000000,0.000000,443.257000
strong,0.4000,89,0.000000,0.000000,443.257000
strong,0.4000,90,0.000000,0.000000,443.257000
strong,0.4000,91,0.000000,0.000000,443.257000
strong,0.4000,92,0.000000,0.000000,443.257000
strong,0.4000,93,0.000000,0.000000,443.257000
strong,0.4000,94,0.000000,0.000000,443.257000
strong,0.4000,95,0.000000,0.000000,443.257000
strong,0.4000,96,0.000000,0.000000,443.257000
strong,0.4000,97,0.000000,0.000000,443.257000
strong,0.4000,98,0.000000,0.000000,443.257000
strong,0.4000,99,0.000000,0.000000,443.257000
strong,0.4000,100,0.000000,0.000000,443.257000
strong,0.4000,101,0.000000,0.000000,443.257000
strong,0.4000,102,0.000000,0.000000,443.257000
strong,0.4000,103,0.000000,0.000000,443.257000
strong,0.4000,104,0.000000,0.000000,443.257000
strong,0.4000,105,0.000000,0.000000,443.257000
strong,0.4000,106,0.000000,0.000000,443.257000
strong,0.4000,107,0.000000,0.000000,443.257000
strong,0.4000,108,0.000000,0.000000,443.257000
strong,0.4000,109,0.000000,0.000000,443.257000
strong,0.4000,110,0.000000,0.000000,443.257000
strong,0.4000,111,0.000000,0.000000,443.257000
strong,0.4000,112,0.000000,0.000000,443.257000
strong,0.4000,113,0.000000,0.000000,443.257000
strong,0.4000,114,0.000000,0.000000,443.257000
strong,0.4000,115,0.000000,0.000000,443.257000
strong,0.4000,116,0.000000,0.000000,443.257000
strong,0.4000,117,0.000000,0.000000,443.257000
strong,0.4000,118,0.000000,0.000000,443.257000
strong,0.4000,119,0.000000,0.000000,443.257000
strong,0.4000,120,0.000000,0.000000,443.257000
strong,0.4000,121,0.000000,0.000000,443.257000
strong,0.4000,122,0.000000,0.000000,443.257000
strong,0.4000,123,0.000000,0.000000,443.257000
strong,0.4000,124,0.000000,0.000000,443.257000
strong,0.4000,125,0.000000,0.000000,443.257000
strong,0.4000,126,0.000000,0.000000,443.257000
strong,0.4000,127,0.000000,0.000000,443.257000
strong,0.4000,128,0.000000,0.000000,443.257000
strong,0.4000,129,0.000000,0.000000,443.257000
strong,0.4000,130,0.000000,0.000000,443.257000
strong,0.4000,131,0.000000,0.000000,443.257000
strong,0.4000,132,0.000000,0.000000,443.257000
strong,0.4000,133,0.000000,0.000000,443.257000
strong,0.4000,134,0.000000,0.000000,443.257000
strong,0.4000,135,0.000000,0.000000,443.257000
strong,0.4000,136,0.000000,0.000000,443.257000
strong,0.4000,137,0.000000,0.000000,443.257000
strong,0.4000,138,0.000000,0.000000,443.257000
strong,0.4000,139,0.000000,0.000000,443.257000
strong,0.4000,140,0.000000,0.000000,443.257000
strong,0.4000,141,0.000000,0.000000,443.257000
strong,0.4000,142,0.000000,0.000000,443.257000
strong,0.4000,143,0.000000,0.000000,443.257000
strong,0.4000,144,0.000000,0.000000,443.257000
strong,0.4000,145,0.000000,0.000000,443.257000
strong,0.4000,146,0.000000,0.000000,443.257000
strong,0.4000,147,0.000000,0.000000,443.257000
